Site,LABNR,C14AGE,C14STD,Lat,Lon
DORINA- MONTE DE,CSIC 1037,4820,50,42.67,-8.81
ALGAR DO BOM SANTO,OxA 5513*,4860,100,39.04,-9.02
BURACA GRANDE,Sac 1460,4790,60,40.01,-8.54
MADORRAS 1,GrN 21066,4790,60,41.3,-7.61
ALAGOA,CSIC 1812,4834,34,41.47,-7.4
CHA DE PARADA 1,CSIC 954,4820,40,41.2,-8.01
PE—A OVIEDO,GrN 19048,4820,40,42.14,-4.74
TOSSAL DE LES BASSES,Beta 225217*,4800,50,38.37,-0.45
PICOTO DO VASCO,OxA 6959*,4790,55,40.9,-7.81
FRADE- MONTE DO,ICEN 968,4780,60,40.14,-7.14
DOMBATE,UtC 3200,4780,60,43.19,-8.97
OUTEIRO DE GREGOS 5,CSIC 659,4780,50,41.18,-8.04
ALGAR DO BOM SANTO,Beta 120048*,4780,50,39.04,-9.02
MOURA- CASA DA,TO 2092*,4850,100,39.32,-9.27
ALGAR DO BOM SANTO,Wk 27992*,4810,35,39.04,-9.02
SAN MARTÕN,Beta 273269*,4800,40,42.56,-2.59
SALEMAS,Beta 233282,4800,40,38.88,-9.2
PORTO COVO,Beta 245136,4790,40,38.75,-9.42
CUEVA DEL TORO,Beta 174307,4800,80,36.96,-4.54
OUTEIRO DE ANTE 3,Gif 4856,4800,80,41.19,-8.03
CABECEIRA 4,Beta 196094,4780,40,38.93,-8.18
CARRASCAL,Beta 228577,4770,40,38.77,-9.29
KATILLOTXU 1,Beta 259125*,4760,40,43.4,-2.72
CABECEIRA 4,Wk 17084,4759,41,38.93,-8.18
CHEIRA 10- CHÃO DE ,ICEN 1268,4750,50,41.63,-8.44
ERAS DEL ALCAZAR,Beta 229721*,4780,80,38.01,-3.37
ATXOSTE,GrA 6846*,4730,50,42.76,-2.48
LA COROLLA,CSIC 1301,4759,30,43.45,-5.49
ALGAR DO BOM SANTO,Wk 27994*,4756,30,39.04,-9.02
ALGAR DO BOM SANTO,Wk 27995*,4739,35,39.04,-9.02
ALGAR DO BOM SANTO,Wk 27987*,4744,30,39.04,-9.02
ALGAR DO BOM SANTO,Wk 27993*,4745,30,39.04,-9.02
